sector,subsector,component,unit,year,value,datatype
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2011,4084,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2011,6803,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2011,5314,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2011,1508,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2011,928,Actual
Real Sector,GDP and components,Services,Constant prices,2011,2347,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2011,7.2,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2011,8.3,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2011,,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2011,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2011,6.4,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2011,28.3,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2011,30.9,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2011,-1.2,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2011,32.1,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2011,464,Actual
External sector,Exports,Exports of services,"Million USD, Level",2011,489,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2011,953,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2011,14,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2011,1569,Actual
External sector,Imports,Imports of services,"Million USD,Level",2011,609,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2011,2178,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2011,32,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2011,-1105,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2011,-16.2,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2011,-477,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2011,-7,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2011,112.1,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2011,1.6,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2011,3.7,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2011,252,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2011,5.3,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2011,9,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2011,2.1,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2011,6.9,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2011,559.9,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2011,14.8,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2011,180.9,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2011,4.8,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2011,379,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2011,10,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2011,894.3,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2011,23.7,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2011,511,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2011,13.5,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2011,-334.3,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2011,-8.7,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2011,-18.7,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2011,781,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2011,,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2011,510,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2011,,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2011,-212.36,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2011,,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2011,600,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2011,,Actual
Other memo items,Population,Population,"Million, Level",2011,10.2,Actual
Other memo items,Population,Annual change in population,%,2011,2,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2011,667,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2011,,Actual
Other memo items,Laborforce,Working age population,16+ years,2011,,Actual
Other memo items,Laborforce,Labour force participation rate,%,2011,,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2012,4642,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2012,7557,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2012,5773,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2012,1611,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2012,1005,Actual
Real Sector,GDP and components,Services,Constant prices,2012,2619,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2012,4.6,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2012,3.9,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2012,6.3,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2012,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2012,7.4,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2012,27.4,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2012,26.7,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2012,-2.8,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2012,29.5,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2012,591,Actual
External sector,Exports,Exports of services,"Million USD, Level",2012,530,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2012,1120,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2012,14.8,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2012,1864,Actual
External sector,Imports,Imports of services,"Million USD,Level",2012,510,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2012,2374,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2012,31.4,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2012,-1274,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2012,-16.9,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2012,-741,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2012,-9.8,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2012,269.6,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2012,3.6,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2012,3.73,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2012,282,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2012,4.1,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2012,10,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2012,2.6,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2012,7.1,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2012,685.9,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2012,15.7,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2012,228.5,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2012,5.2,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2012,457.4,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2012,10.5,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2012,1037.4,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2012,23.7,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2012,614,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2012,14,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2012,-351.5,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2012,-7.9,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2012,-18.3,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2012,890,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2012,14,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2012,683,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2012,33.9,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2012,-137.1,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2012,-35,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2012,614,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2012,2,Actual
Other memo items,Population,Population,"Million, Level",2012,10.5,Actual
Other memo items,Population,Annual change in population,%,2012,2.9,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2012,720,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2012,,Actual
Other memo items,Laborforce,Working age population,16+ years,2012,,Actual
Other memo items,Laborforce,Labour force participation rate,%,2012,,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2013,4988,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2013,7714,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2013,6046,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2013,1664,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2013,1099,Actual
Real Sector,GDP and components,Services,Constant prices,2013,2756,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2013,2.6,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2013,3.6,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2013,4.2,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2013,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2013,8.7,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2013,26,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2013,27.3,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2013,1.5,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2013,25.8,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2013,703,Actual
External sector,Exports,Exports of services,"Million USD, Level",2013,596,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2013,1299,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2013,16.8,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2013,1854,Actual
External sector,Imports,Imports of services,"Million USD,Level",2013,600,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2013,2453,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2013,31.8,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2013,-1151,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2013,-14.9,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2013,-585,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2013,-7.6,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2013,233.8,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2013,3,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2013,3.81,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2013,294,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2013,4.8,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2013,14,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2013,3.2,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2013,10.6,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2013,646.9,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2013,13.3,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2013,282.0379536,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2013,5.8,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2013,364.9,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2013,7.5,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2013,1078.1,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2013,22.2,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2013,661,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2013,13.6,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2013,-431.2,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2013,-8.8,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2013,-16.2,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2013,1028,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2013,16,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2013,758,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2013,11.1,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2013,-187.3,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2013,37,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2013,647,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2013,5,Actual
Other memo items,Population,Population,"Million, Level",2013,10.7,Actual
Other memo items,Population,Annual change in population,%,2013,1.9,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2013,721,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2013,,Actual
Other memo items,Laborforce,Working age population,16+ years,2013,,Actual
Other memo items,Laborforce,Labour force participation rate,%,2013,,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2014,5548,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2014,8130,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2014,6418,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2014,1775,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2014,1127,Actual
Real Sector,GDP and components,Services,Constant prices,2014,2949,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2014,5.3,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2014,2.1,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2014,1.8,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2014,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2014,9.7,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2014,25.1,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2014,24.7,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2014,0.8,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2014,23.9,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2014,723,Actual
External sector,Exports,Exports of services,"Million USD, Level",2014,605,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2014,1328,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2014,16.3,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2014,1992,Actual
External sector,Imports,Imports of services,"Million USD,Level",2014,662,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2014,2654,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2014,32.6,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2014,-1269,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2014,-15.6,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2014,-930,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2014,-11.4,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2014,314,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2014,3.9,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2014,3.74,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2014,304,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2014,3.9,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2014,16,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2014,3.8,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2014,11.8,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2014,1338.8,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2014,25.3,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2014,727.9937747,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2014,13.7,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2014,474.3,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2014,9,Actual
Fiscal sector,Expenditure,Expenditure,"Billion RWF, Level",2014,1546.4,Actual
Fiscal sector,Expenditure,Expenditure,Percentage of GDP,2014,29.2,Actual
Fiscal sector,Expenditure,Expense,"Billion RWF, Level",2014,903,Actual
Fiscal sector,Expenditure,Expense,Percentage of GDP,2014,17.1,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Billion FRW, Level",2014,-207.6,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,Percentage of GDP,2014,-3.9,Actual
Fiscal sector,Fiscal balance,Fiscal Balance/Deficit,"Exl, grants, Percentage of GDP",2014,-12.8,Actual
Monetary sector,Broad money,Broad Money,"M3, Million USD, Level",2014,1224,Actual
Monetary sector,Broad money,Broad Money,"M3, Percentage change",2014,19,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS Million USD, Level",2014,906,Actual
Monetary sector,Credit to private Sector,Credit Private Sector,"CPS, Percentage change",2014,19.5,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Million USD, Level",2014,-21.15,Actual
Monetary sector,Credit to Govt,Credit Government,"CG, Percentage change",2014,-89,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Level",2014,682,Actual
Monetary sector,Exchange rate,Exchange rate,"RWF/USD, Percentage change",2014,5,Actual
Other memo items,Population,Population,"Million, Level",2014,11,Actual
Other memo items,Population,Annual change in population,%,2014,2.8,Actual
Real Sector,GDP and components,Nominal GDP per capita,"USD, Level",2014,739,Actual
Other memo items,Laborforce,Employement to population,"Ratio, percent",2014,,Actual
Other memo items,Laborforce,Working age population,16+ years,2014,,Actual
Other memo items,Laborforce,Labour force participation rate,%,2014,,Actual
Real Sector,GDP and components,Nominal GDP,"Billion RWF, Level",2015,6081,Actual
Real Sector,GDP and components,Nominal GDP,"Million USD, Level",2015,8451,Actual
Real Sector,GDP and components,Real GDP,"Billion RWF, Level",2015,6987,Actual
Real Sector,GDP and components,Agriculture GDP,Constant prices,2015,1863,Actual
Real Sector,GDP and components,Industry GDP,Constant prices,2015,1228,Actual
Real Sector,GDP and components,Services,Constant prices,2015,3256,Actual
Real Sector,Inflation and other prices,GDP deflator,Percentage,2015,0.7,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, eop",2015,4.5,Actual
Real Sector,Inflation and other prices,Consumer Price Index,"CPI, Percentage, pa",2015,2.5,Actual
Real Sector,GDP and components,Total investment,Percentage of GDP,2015,34.7,Actual
Real Sector,GDP and components,Government investment,Percetange of GDP,2015,8.8,Actual
Real Sector,GDP and components,Private Investment,Percentage of GDP,2015,25.9,Actual
Real Sector,GDP and components,National savings,Percentage of GDP,2015,24.8,Actual
Real Sector,GDP and components,Government savings,Percetange of GDP,2015,0,Actual
Real Sector,GDP and components,Private savings,Percentage of GDP,2015,24.7,Actual
External sector,Exports,Exports of goods,"Million USD, Level",2015,682,Actual
External sector,Exports,Exports of services,"Million USD, Level",2015,767,Actual
External sector,Exports,Exports of goods & services,"Million USD, Level",2015,1449,Actual
External sector,Exports,Exports of goods & services,Percentage of GDP,2015,17.1,Actual
External sector,Imports,Imports of goods,"Million USD, Level",2015,1919,Actual
External sector,Imports,Imports of services,"Million USD,Level",2015,1020,Actual
External sector,Imports,Imports of goods & services,"Million USD, Level",2015,2939,Actual
External sector,Imports,Imports of goods & services,Percentage of GDP,2015,34.8,Actual
External sector,Trade balance,Trade balance,"Million USD, Level",2015,-1237,Actual
External sector,Trade balance,Trade balance,Percentage of GDP,2015,-14.6,Actual
External sector,Current Account Balance,Current Account Balance,"Million USD, Level",2015,-1078,Actual
External sector,Current Account Balance,Current Account Balance,Percentage of GDP,2015,-12.8,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Million USD, Level",2015,162.1,Actual
External sector,FDI,Foreign Direct Investment,"FDI, Percetantage of GDP",2015,1.9,Actual
External sector,Tourism,Tourism Receipts,Percentage of GDP,2015,4,Actual
External sector,Tourism,Tourism Receipts,"Million USD, Level",2015,338,Actual
External sector,Reserves,Gross official reserves,"Million USD, Months of imports",2015,3.6,Actual
Debt sector,Debt,Central government debt,Percentage of GDP,2015,18,Actual
Debt sector,Debt,Central government domestic debt,Percentage of GDP,2015,4.5,Actual
Debt sector,Debt,Central government external debt,Percentage of GDP,2015,13.6,Actual
Fiscal sector,Revenue,Revenues incl. grants,"Billion FRW, Level",2015,1418.7,Actual
Fiscal sector,Revenue,Revenues incl. grants,Percentage of GDP,2015,24.6,Actual
Fiscal sector,Revenue,Tax revenue,"Billion RWF, Level",2015,830.2377803,Actual
Fiscal sector,Revenue,Tax revenue,Percentage of GDP,2015,14.4,Actual
Fiscal sector,Revenue,Grants,"Billion RWF, Level",2015,415.9,Actual
Fiscal sector,Revenue,Grants,Percentage of GDP,2015,7.2,Actual
